seq,time,bid_price,bid_size,ask_price,ask_size
458,2025-09-13 12:35:02,115715.99,9.11276,115716.0,2.7148
459,2025-09-13 12:35:02,115715.99,9.11281,115716.0,2.7148
460,2025-09-13 12:35:03,115715.99,9.11286,115716.0,2.7148
461,2025-09-13 12:35:03,115715.99,9.11301,115716.0,2.7148
462,2025-09-13 12:35:03,115715.99,9.11301,115716.0,2.57105
463,2025-09-13 12:35:03,115715.99,9.11296,115716.0,2.57105
464,2025-09-13 12:35:03,115715.99,9.11296,115716.0,2.95355
465,2025-09-13 12:35:03,115715.99,9.11296,115716.0,3.00355
466,2025-09-13 12:35:03,115715.99,9.11301,115716.0,3.00355
467,2025-09-13 12:35:03,115715.99,9.11306,115716.0,3.00355
468,2025-09-13 12:35:03,115715.99,9.11301,115716.0,3.00355
469,2025-09-13 12:35:03,115715.99,9.11301,115716.0,3.0035
470,2025-09-13 12:35:03,115715.99,9.11301,115716.0,3.00355
471,2025-09-13 12:35:03,115715.99,9.11296,115716.0,3.00355
472,2025-09-13 12:35:03,115715.99,9.11291,115716.0,3.00355
473,2025-09-13 12:35:03,115715.99,9.11296,115716.0,3.00355
474,2025-09-13 12:35:03,115715.99,9.11301,115716.0,3.00355
475,2025-09-13 12:35:03,115715.99,9.11306,115716.0,3.00355
476,2025-09-13 12:35:03,115715.99,9.11306,115716.0,2.99747
477,2025-09-13 12:35:03,115715.99,9.11306,115716.0,3.00071
478,2025-09-13 12:35:03,115715.99,9.09946,115716.0,3.00071
479,2025-09-13 12:35:03,115715.99,9.09941,115716.0,3.00071
480,2025-09-13 12:35:03,115715.99,9.09941,115716.0,3.00119
481,2025-09-13 12:35:03,115715.99,9.09941,115716.0,3.00229
482,2025-09-13 12:35:04,115715.99,9.12941,115716.0,3.00229
483,2025-09-13 12:35:04,115715.99,9.12839,115716.0,3.00229
484,2025-09-13 12:35:04,115715.99,9.1282,115716.0,3.00229
485,2025-09-13 12:35:04,115715.99,9.1282,115716.0,3.00302
486,2025-09-13 12:35:04,115715.99,9.1282,115716.0,3.00229
487,2025-09-13 12:35:04,115715.99,9.1282,115716.0,3.00224
488,2025-09-13 12:35:04,115715.99,9.1282,115716.0,2.61974
489,2025-09-13 12:35:04,115715.99,9.1282,115716.0,2.6165
490,2025-09-13 12:35:04,115715.99,9.12815,115716.0,2.6165
491,2025-09-13 12:35:04,115715.99,9.1281,115716.0,2.6165
492,2025-09-13 12:35:04,115715.99,9.12815,115716.0,2.6165
493,2025-09-13 12:35:04,115715.99,9.1282,115716.0,2.6165
494,2025-09-13 12:35:04,115715.99,9.12516,115716.0,2.6165
495,2025-09-13 12:35:04,115715.99,9.12821,115716.0,2.6165
496,2025-09-13 12:35:05,115715.99,9.12808,115716.0,2.6165
497,2025-09-13 12:35:05,115715.99,9.14605,115716.0,2.6165
498,2025-09-13 12:35:05,115715.99,9.1461,115716.0,2.6165
499,2025-09-13 12:35:05,115715.99,9.14615,115716.0,2.6165
500,2025-09-13 12:35:05,115715.99,9.14615,115716.0,2.6164
501,2025-09-13 12:35:05,115715.99,9.14615,115716.0,2.5664
502,2025-09-13 12:35:05,115715.99,9.1461,115716.0,2.5664
503,2025-09-13 12:35:05,115715.99,9.14605,115716.0,2.5664
504,2025-09-13 12:35:05,115715.99,9.14605,115716.0,2.55521
505,2025-09-13 12:35:05,115715.99,9.146,115716.0,2.55521
506,2025-09-13 12:35:05,115715.99,9.146,115716.0,2.55496
507,2025-09-13 12:35:05,115715.99,9.146,115716.0,2.50579
508,2025-09-13 12:35:05,115715.99,9.146,115716.0,2.50479
509,2025-09-13 12:35:05,115715.99,9.14605,115716.0,2.50479
510,2025-09-13 12:35:05,115715.99,9.14596,115716.0,2.50479
511,2025-09-13 12:35:05,115715.99,9.14596,115716.0,2.50267
512,2025-09-13 12:35:05,115715.99,9.14596,115716.0,2.50475
513,2025-09-13 12:35:05,115715.99,9.14596,115716.0,2.51631
514,2025-09-13 12:35:05,115715.99,9.14608,115716.0,2.51631
515,2025-09-13 12:35:06,115715.99,9.14603,115716.0,2.51631
516,2025-09-13 12:35:06,115715.99,9.14598,115716.0,2.51631
517,2025-09-13 12:35:06,115715.99,9.14603,115716.0,2.51631
518,2025-09-13 12:35:06,115715.99,9.14608,115716.0,2.51631
519,2025-09-13 12:35:06,115715.99,9.14613,115716.0,2.51631
520,2025-09-13 12:35:06,115715.99,9.66464,115716.0,2.51631
521,2025-09-13 12:35:06,115715.99,9.14613,115716.0,2.51631
522,2025-09-13 12:35:06,115715.99,9.14608,115716.0,2.51631
523,2025-09-13 12:35:06,115715.99,9.14868,115716.0,2.51631
524,2025-09-13 12:35:06,115715.99,9.14873,115716.0,2.51631
525,2025-09-13 12:35:06,115715.99,9.14878,115716.0,2.51631
526,2025-09-13 12:35:06,115715.99,9.14883,115716.0,2.51631
527,2025-09-13 12:35:06,115715.99,9.14883,115716.0,2.51627
528,2025-09-13 12:35:06,115715.99,9.14878,115716.0,2.51627
529,2025-09-13 12:35:06,115715.99,9.14873,115716.0,2.51627
530,2025-09-13 12:35:07,115715.99,9.14873,115716.0,2.51632
531,2025-09-13 12:35:07,115715.99,9.14873,115716.0,2.50476
532,2025-09-13 12:35:07,115715.99,9.13076,115716.0,2.50476
533,2025-09-13 12:35:07,115715.99,9.13076,115716.0,2.5047
534,2025-09-13 12:35:07,115715.99,9.13076,115716.0,2.50262
535,2025-09-13 12:35:07,115715.99,9.13076,115716.0,2.50473
536,2025-09-13 12:35:07,115715.99,9.13071,115716.0,2.50473
537,2025-09-13 12:35:07,115715.99,9.13066,115716.0,2.50473
538,2025-09-13 12:35:07,115715.99,9.13061,115716.0,2.50473
539,2025-09-13 12:35:07,115715.99,9.13056,115716.0,2.50473
540,2025-09-13 12:35:07,115715.99,9.13061,115716.0,2.50473
541,2025-09-13 12:35:07,115715.99,9.13061,115716.0,2.51636
542,2025-09-13 12:35:07,115715.99,9.13066,115716.0,2.51636
543,2025-09-13 12:35:07,115715.99,9.13066,115716.0,2.56553
544,2025-09-13 12:35:08,115715.99,9.64917,115716.0,2.56553
545,2025-09-13 12:35:08,115715.99,9.64917,115716.0,2.5539
546,2025-09-13 12:35:08,115715.99,9.64922,115716.0,2.5539
547,2025-09-13 12:35:08,115715.99,9.64917,115716.0,2.5539
548,2025-09-13 12:35:08,115715.99,9.64743,115716.0,2.5539
549,2025-09-13 12:35:08,115715.99,9.12892,115716.0,2.5539
550,2025-09-13 12:35:08,115715.99,9.12892,115716.0,2.56523
551,2025-09-13 12:35:08,115715.99,9.12897,115716.0,2.56523
552,2025-09-13 12:35:08,115715.99,9.12892,115716.0,2.56523
553,2025-09-13 12:35:08,115715.99,9.12892,115716.0,2.56529
554,2025-09-13 12:35:08,115715.99,9.12897,115716.0,2.56529
555,2025-09-13 12:35:08,115715.99,9.12897,115716.0,2.586
556,2025-09-13 12:35:09,115715.99,9.12897,115716.0,2.58595
557,2025-09-13 12:35:09,115715.99,9.12897,115716.0,2.586
558,2025-09-13 12:35:09,115715.99,9.12897,115716.0,2.58595
559,2025-09-13 12:35:09,115715.99,9.12897,115716.0,2.653
560,2025-09-13 12:35:09,115715.99,9.12897,115716.0,2.65295
561,2025-09-13 12:35:09,115715.99,9.12897,115716.0,2.653
562,2025-09-13 12:35:09,115715.99,9.64748,115716.0,2.653
563,2025-09-13 12:35:09,115715.99,9.64337,115716.0,2.653
564,2025-09-13 12:35:09,115715.99,9.64332,115716.0,2.653
565,2025-09-13 12:35:09,115715.99,9.64332,115716.0,2.64872
566,2025-09-13 12:35:09,115715.99,9.6409,115716.0,2.64872
567,2025-09-13 12:35:09,115715.99,9.6409,115716.0,2.63739
568,2025-09-13 12:35:09,115715.99,9.12239,115716.0,2.63739
569,2025-09-13 12:35:09,115715.99,9.12239,115716.0,2.64858
570,2025-09-13 12:35:09,115715.99,9.6409,115716.0,2.64858
571,2025-09-13 12:35:09,115715.99,9.12239,115716.0,2.64858
572,2025-09-13 12:35:09,115715.99,9.1222,115716.0,2.64858
573,2025-09-13 12:35:10,115715.99,9.12225,115716.0,2.64858
574,2025-09-13 12:35:10,115715.99,9.12225,115716.0,2.69858
575,2025-09-13 12:35:10,115715.99,9.11691,115716.0,2.69858
576,2025-09-13 12:35:10,115715.99,9.11691,115716.0,2.89363
577,2025-09-13 12:35:10,115715.99,9.11691,115716.0,2.89694
578,2025-09-13 12:35:10,115715.99,9.14285,115716.0,2.89694
579,2025-09-13 12:35:10,115715.99,9.1428,115716.0,2.89694
580,2025-09-13 12:35:10,115715.99,9.1428,115716.0,2.89699
581,2025-09-13 12:35:10,115715.99,9.14288,115716.0,2.89699
582,2025-09-13 12:35:10,115715.99,9.14283,115716.0,2.89699
583,2025-09-13 12:35:10,115715.99,9.14283,115716.0,3.10659
584,2025-09-13 12:35:10,115715.99,9.11205,115716.0,3.10659
585,2025-09-13 12:35:10,115715.99,9.1086,115716.0,3.10659
